Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Люлин 6,11500.00,884.61,EUR,"Гараж, паркомясто",2022-07-28
Люлин Център,13750.00,833.33,EUR,"Гараж, паркомясто",2022-07-28
Малинова Долина,24750.00,811.47,EUR,"Гараж, паркомясто",2022-07-28
Младост 1а,30000.00,1428.57,EUR,"Гараж, паркомясто",2022-07-28
Павлово,23220.00,1032.00,EUR,"Гараж, паркомясто",2022-07-28
Редута,6500.00,812.50,EUR,"Гараж, паркомясто",2022-07-28
Слатина,14000.00,560.00,EUR,"Гараж, паркомясто",2022-07-28
Студентски Град,26357.14,1025.00,EUR,"Гараж, паркомясто",2022-07-28
Суха Река,53390.00,970.73,EUR,"Гараж, паркомясто",2022-07-28
Хиподрума,54990.00,1374.75,EUR,"Гараж, паркомясто",2022-07-28
Център,40666.67,1402.30,EUR,"Гараж, паркомясто",2022-07-28
Зона Б18,69990.00,1794.61,EUR,"Ателие, таван, студио",2022-07-28
Илинден,82000.00,1123.29,EUR,"Ателие, таван, студио",2022-07-28
Княжево,29990.00,1578.42,EUR,"Ателие, таван, студио",2022-07-28
Лозенец,179890.00,1223.74,EUR,"Ателие, таван, студио",2022-07-28
Люлин 2,72696.00,1166.25,EUR,"Ателие, таван, студио",2022-07-28
Младост 2,180000.00,1698.11,EUR,"Ателие, таван, студио",2022-07-28
Овча Купел,102700.00,1300.00,EUR,"Ателие, таван, студио",2022-07-28
Овча Купел 2,124000.00,1240.00,EUR,"Ателие, таван, студио",2022-07-28
Павлово,53942.00,1634.61,EUR,"Ателие, таван, студио",2022-07-28
Слатина,99400.00,2424.39,EUR,"Ателие, таван, студио",2022-07-28
Стрелбище,132000.00,1571.43,EUR,"Ателие, таван, студио",2022-07-28
Студентски Град,81666.66,2112.07,EUR,"Ателие, таван, студио",2022-07-28
Център,162472.50,1628.80,EUR,"Ателие, таван, студио",2022-07-28
Белите Брези,452333.34,1794.97,EUR,Многостаен апартамемент,2022-07-28
Борово,400000.00,1223.24,EUR,Многостаен апартамемент,2022-07-28
Бояна,624046.81,1875.89,EUR,Многостаен апартамемент,2022-07-28
Бъкстон,268000.00,1425.53,EUR,Многостаен апартамемент,2022-07-28
Витоша,487085.72,1785.13,EUR,Многостаен апартамемент,2022-07-28
Гео Милев,395749.84,2026.02,EUR,Многостаен апартамемент,2022-07-28
Горна Баня,375000.00,1500.00,EUR,Многостаен апартамемент,2022-07-28
Гоце Делчев,658333.31,1118.98,EUR,Многостаен апартамемент,2022-07-28
Дианабад,355000.00,1000.00,EUR,Многостаен апартамемент,2022-07-28
Драгалевци,721443.00,1681.69,EUR,Многостаен апартамемент,2022-07-28
Дружба 1,218793.83,1347.81,EUR,Многостаен апартамемент,2022-07-28
Дървеница,408703.50,1757.86,EUR,Многостаен апартамемент,2022-07-28
Западен Парк,360000.00,1500.00,EUR,Многостаен апартамемент,2022-07-28
Зона Б18,228500.00,1287.32,EUR,Многостаен апартамемент,2022-07-28
Зона Б19,368370.00,1497.44,EUR,Многостаен апартамемент,2022-07-28
Иван Вазов,418000.00,2651.16,EUR,Многостаен апартамемент,2022-07-28
Изгрев,500000.00,1362.40,EUR,Многостаен апартамемент,2022-07-28
Изток,499934.00,3029.90,EUR,Многостаен апартамемент,2022-07-28
Красна Поляна,182436.00,818.10,EUR,Многостаен апартамемент,2022-07-28
Красно Село,233249.33,1658.17,EUR,Многостаен апартамемент,2022-07-28
Кръстова Вада,517741.44,1919.08,EUR,Многостаен апартамемент,2022-07-28
Левски Г,190996.67,1757.64,EUR,Многостаен апартамемент,2022-07-28
Лозенец,757956.31,2219.63,EUR,Многостаен апартамемент,2022-07-28
Люлин 2,116480.00,1078.52,EUR,Многостаен апартамемент,2022-07-28
Малинова Долина,226487.59,1276.71,EUR,Многостаен апартамемент,2022-07-28
Манастирски ливади Запад,426250.00,1678.15,EUR,Многостаен апартамемент,2022-07-28
Младост 2,357213.00,1512.33,EUR,Многостаен апартамемент,2022-07-28
Оборище,1065244.38,3360.39,EUR,Многостаен апартамемент,2022-07-28
Овча Купел,277968.00,1669.48,EUR,Многостаен апартамемент,2022-07-28
Овча Купел 2,217375.00,1240.37,EUR,Многостаен апартамемент,2022-07-28
Павлово,260000.50,1710.53,EUR,Многостаен апартамемент,2022-07-28
Редута,225000.00,1323.53,EUR,Многостаен апартамемент,2022-07-28
Симеоново,538333.31,1523.58,EUR,Многостаен апартамемент,2022-07-28
Стрелбище,399450.00,1997.25,EUR,Многостаен апартамемент,2022-07-28
Студентски Град,412730.81,1582.56,EUR,Многостаен апартамемент,2022-07-28
Хаджи Димитър,205000.00,1102.15,EUR,Многостаен апартамемент,2022-07-28
Хиподрума,377277.50,1326.89,EUR,Многостаен апартамемент,2022-07-28
Хладилника,460016.66,2115.02,EUR,Многостаен апартамемент,2022-07-28
Център,529647.62,2792.63,EUR,Многостаен апартамемент,2022-07-28
Яворов,650000.00,2826.09,EUR,Многостаен апартамемент,2022-07-28
Банишора,95885.40,1295.75,EUR,Двустаен апартамент,2022-01-10
Банкя (гр.),135000.00,1363.64,EUR,Двустаен апартамент,2022-01-10
Белите Брези,132000.00,1450.55,EUR,Двустаен апартамент,2022-01-10
Борово,122870.00,1500.45,EUR,Двустаен апартамент,2022-01-10
Бояна,123933.93,1562.43,EUR,Двустаен апартамент,2022-01-10
Бъкстон,99743.75,1395.02,EUR,Двустаен апартамент,2022-01-10
Витоша,103407.54,1433.02,EUR,Двустаен апартамент,2022-01-10
Гео Милев,119705.60,1988.46,EUR,Двустаен апартамент,2022-01-10
Горна Баня,135579.62,1310.74,EUR,Двустаен апартамент,2022-01-10
Гоце Делчев,168395.27,2169.02,EUR,Двустаен апартамент,2022-01-10
Дианабад,114578.86,1548.36,EUR,Двустаен апартамент,2022-01-10
Драгалевци,116989.41,1426.16,EUR,Двустаен апартамент,2022-01-10
Дружба 1,90876.09,1130.17,EUR,Двустаен апартамент,2022-01-10
Дружба 2,93304.39,1309.03,EUR,Двустаен апартамент,2022-01-10
Дървеница,94247.45,1379.23,EUR,Двустаен апартамент,2022-01-10
Западен Парк,71966.66,1375.16,EUR,Двустаен апартамент,2022-01-10
Захарна Фабрика,68900.00,1252.73,EUR,Двустаен апартамент,2022-01-10
Зона Б18,104125.00,1626.95,EUR,Двустаен апартамент,2022-01-10
Зона Б19,109421.25,1402.84,EUR,Двустаен апартамент,2022-01-10
Зона Б5,127612.50,1745.13,EUR,Двустаен апартамент,2022-01-10
Иван Вазов,185033.33,3041.65,EUR,Двустаен апартамент,2022-01-10
Изгрев,141840.00,1608.16,EUR,Двустаен апартамент,2022-01-10
Изток,191113.62,2334.21,EUR,Двустаен апартамент,2022-01-10
Илинден,117000.00,1360.46,EUR,Двустаен апартамент,2022-01-10
Княжево,100587.50,1130.20,EUR,Двустаен апартамент,2022-01-10
Красна Поляна,92558.00,1428.36,EUR,Двустаен апартамент,2022-01-10
Красно Село,105100.00,1580.45,EUR,Двустаен апартамент,2022-01-10
Кръстова Вада,109198.62,1426.68,EUR,Двустаен апартамент,2022-01-10
Лагера,117129.45,1578.09,EUR,Двустаен апартамент,2022-01-10
Левски,70966.66,1163.39,EUR,Двустаен апартамент,2022-01-10
Левски В,71812.34,1110.50,EUR,Двустаен апартамент,2022-01-10
Лозенец,179064.95,2423.07,EUR,Двустаен апартамент,2022-01-10
Люлин 1,72093.50,1027.46,EUR,Двустаен апартамент,2022-01-10
Люлин 10,74649.20,1028.23,EUR,Двустаен апартамент,2022-01-10
Люлин 2,84666.66,1329.84,EUR,Двустаен апартамент,2022-01-10
Люлин 3,69714.14,1280.84,EUR,Двустаен апартамент,2022-01-10
Люлин 4,492000.00,8200.00,EUR,Двустаен апартамент,2022-01-10
Люлин 5,69626.86,1289.39,EUR,Двустаен апартамент,2022-01-10
Люлин 6,70374.00,666.55,EUR,Двустаен апартамент,2022-01-10
Люлин 7,72230.00,1274.65,EUR,Двустаен апартамент,2022-01-10
Люлин 8,70850.00,1107.03,EUR,Двустаен апартамент,2022-01-10
Люлин 9,78833.60,1322.71,EUR,Двустаен апартамент,2022-01-10
Люлин Център,82746.00,1244.30,EUR,Двустаен апартамент,2022-01-10
м-т Детски град,108313.00,1406.66,EUR,Двустаен апартамент,2022-01-10
Малинова Долина,94437.05,1299.67,EUR,Двустаен апартамент,2022-01-10
Манастирски ливади Запад,140650.00,1679.40,EUR,Двустаен апартамент,2022-01-10
Манастирски ливади Изток,102183.14,1433.43,EUR,Двустаен апартамент,2022-01-10
Младост 1,104275.00,1559.25,EUR,Двустаен апартамент,2022-01-10
Младост 1а,73800.00,1230.00,EUR,Двустаен апартамент,2022-01-10
Младост 2,119498.14,1646.63,EUR,Двустаен апартамент,2022-01-10
Младост 3,96965.50,1558.93,EUR,Двустаен апартамент,2022-01-10
Младост 4,89632.05,1373.09,EUR,Двустаен апартамент,2022-01-10
Мотописта,125000.00,1470.59,EUR,Двустаен апартамент,2022-01-10
Мусагеница,120000.00,1935.48,EUR,Двустаен апартамент,2022-01-10
Надежда 1,71970.66,1179.85,EUR,Двустаен апартамент,2022-01-10
Надежда 2,86847.10,979.11,EUR,Двустаен апартамент,2022-01-10
Надежда 3,77194.00,1036.16,EUR,Двустаен апартамент,2022-01-10
Надежда 4,80001.71,1138.24,EUR,Двустаен апартамент,2022-01-10
Обеля,86000.00,1303.03,EUR,Двустаен апартамент,2022-01-10
Обеля 1,73466.66,1141.97,EUR,Двустаен апартамент,2022-01-10
Обеля 2,72330.00,1205.50,EUR,Двустаен апартамент,2022-01-10
Оборище,158291.73,2082.79,EUR,Двустаен апартамент,2022-01-10
Овча Купел,95824.17,1320.57,EUR,Двустаен апартамент,2022-01-10
Овча Купел 1,96006.37,1353.94,EUR,Двустаен апартамент,2022-01-10
Овча Купел 2,84056.62,1260.45,EUR,Двустаен апартамент,2022-01-10
Павлово,94414.66,1317.41,EUR,Двустаен апартамент,2022-01-10
Подуене,108462.00,1694.72,EUR,Двустаен апартамент,2022-01-10
Полигона,92791.40,1572.74,EUR,Двустаен апартамент,2022-01-10
Разсадника,96699.88,1227.94,EUR,Двустаен апартамент,2022-01-10
Редута,116065.37,1437.75,EUR,Двустаен апартамент,2022-01-10
Света Троица,95899.66,1234.76,EUR,Двустаен апартамент,2022-01-10
Свобода,77659.66,1182.63,EUR,Двустаен апартамент,2022-01-10
Сердика,98133.34,1429.13,EUR,Двустаен апартамент,2022-01-10
Симеоново,114136.03,1442.24,EUR,Двустаен апартамент,2022-01-10
Славия,105000.00,1721.31,EUR,Двустаен апартамент,2022-01-10
Слатина,88456.25,1114.41,EUR,Двустаен апартамент,2022-01-10
Стрелбище,79900.00,1736.96,EUR,Двустаен апартамент,2022-01-10
Студентски Град,104227.38,1400.98,EUR,Двустаен апартамент,2022-01-10
Суха Река,90061.23,1302.66,EUR,Двустаен апартамент,2022-01-10
Толстой,62250.00,1055.08,EUR,Двустаен апартамент,2022-01-10
Фондови Жилища,68500.00,1317.31,EUR,Двустаен апартамент,2022-01-10
Хаджи Димитър,92326.84,1363.92,EUR,Двустаен апартамент,2022-01-10
Хиподрума,153333.33,2346.94,EUR,Двустаен апартамент,2022-01-10
Хладилника,118940.00,1585.87,EUR,Двустаен апартамент,2022-01-10
Център,143372.48,1948.52,EUR,Двустаен апартамент,2022-01-10
Банишора,146698.47,1392.45,EUR,Тристаен апартамент,2022-01-10
Банкя (гр.),162500.00,1346.69,EUR,Тристаен апартамент,2022-01-10
Белите Брези,196698.89,1590.56,EUR,Тристаен апартамент,2022-01-10
Борово,174180.00,1522.55,EUR,Тристаен апартамент,2022-01-10
Бояна,229434.00,1603.70,EUR,Тристаен апартамент,2022-01-10
Бъкстон,170017.06,1464.26,EUR,Тристаен апартамент,2022-01-10
Витоша,195753.22,1464.67,EUR,Тристаен апартамент,2022-01-10
Гео Милев,199858.33,1945.09,EUR,Тристаен апартамент,2022-01-10
Горна Баня,170896.70,1428.90,EUR,Тристаен апартамент,2022-01-10
Гоце Делчев,224587.78,1936.10,EUR,Тристаен апартамент,2022-01-10
Дианабад,194417.27,1786.62,EUR,Тристаен апартамент,2022-01-10
Драгалевци,181899.09,1481.75,EUR,Тристаен апартамент,2022-01-10
Дружба 1,134241.72,1134.21,EUR,Тристаен апартамент,2022-01-10
Дружба 2,152763.80,1474.10,EUR,Тристаен апартамент,2022-01-10
Дървеница,127103.05,1359.77,EUR,Тристаен апартамент,2022-01-10
Захарна Фабрика,76000.00,1013.33,EUR,Тристаен апартамент,2022-01-10
Зона Б18,126450.00,1374.46,EUR,Тристаен апартамент,2022-01-10
Зона Б19,132244.16,1221.51,EUR,Тристаен апартамент,2022-01-10
Зона Б5,188975.00,1958.29,EUR,Тристаен апартамент,2022-01-10
Иван Вазов,334421.44,2589.55,EUR,Тристаен апартамент,2022-01-10
Изгрев,253745.59,2102.28,EUR,Тристаен апартамент,2022-01-10
Изток,284705.00,2327.58,EUR,Тристаен апартамент,2022-01-10
Илинден,125632.40,1292.51,EUR,Тристаен апартамент,2022-01-10
Княжево,150000.00,1304.35,EUR,Тристаен апартамент,2022-01-10
Красна Поляна,112549.84,1278.97,EUR,Тристаен апартамент,2022-01-10
Красно Село,174842.75,1545.57,EUR,Тристаен апартамент,2022-01-10
Кръстова Вада,193309.42,1478.49,EUR,Тристаен апартамент,2022-01-10
Лагера,156020.70,1411.12,EUR,Тристаен апартамент,2022-01-10
Левски,151200.00,847.06,EUR,Тристаен апартамент,2022-01-10
Левски В,128615.66,1269.23,EUR,Тристаен апартамент,2022-01-10
Левски Г,144000.00,1694.12,EUR,Тристаен апартамент,2022-01-10
Лозенец,271712.72,2233.71,EUR,Тристаен апартамент,2022-01-10
Люлин 1,97200.00,1188.26,EUR,Тристаен апартамент,2022-01-10
Люлин 10,109292.36,1053.78,EUR,Тристаен апартамент,2022-01-10
Люлин 2,97822.86,1028.17,EUR,Тристаен апартамент,2022-01-10
Люлин 3,91150.00,930.10,EUR,Тристаен апартамент,2022-01-10
Люлин 4,101450.00,1317.53,EUR,Тристаен апартамент,2022-01-10
Люлин 5,96433.34,999.31,EUR,Тристаен апартамент,2022-01-10
Люлин 6,110350.07,1161.58,EUR,Тристаен апартамент,2022-01-10
Люлин 7,108197.50,1265.47,EUR,Тристаен апартамент,2022-01-10
Люлин 8,125000.00,1436.78,EUR,Тристаен апартамент,2022-01-10
Люлин 9,138925.00,1229.43,EUR,Тристаен апартамент,2022-01-10
Люлин Център,135000.00,1483.52,EUR,Тристаен апартамент,2022-01-10
м-т Гърдова глава,169000.00,1300.00,EUR,Тристаен апартамент,2022-01-10
м-т Детски град,173380.50,1409.60,EUR,Тристаен апартамент,2022-01-10
Малинова Долина,143956.23,1293.48,EUR,Тристаен апартамент,2022-01-10
Манастирски ливади Запад,173445.59,1412.42,EUR,Тристаен апартамент,2022-01-10
Манастирски ливади Изток,166719.41,1532.35,EUR,Тристаен апартамент,2022-01-10
Младост 1,135055.00,1527.77,EUR,Тристаен апартамент,2022-01-10
Младост 1а,132450.00,1505.11,EUR,Тристаен апартамент,2022-01-10
Младост 2,197463.78,1663.24,EUR,Тристаен апартамент,2022-01-10
Младост 3,139335.72,1507.50,EUR,Тристаен апартамент,2022-01-10
Младост 4,154845.34,1486.40,EUR,Тристаен апартамент,2022-01-10
Мотописта,400000.00,1960.78,EUR,Тристаен апартамент,2022-01-10
Надежда 1,92266.10,1185.94,EUR,Тристаен апартамент,2022-01-10
Надежда 2,122466.79,1087.21,EUR,Тристаен апартамент,2022-01-10
Надежда 3,108900.00,1130.45,EUR,Тристаен апартамент,2022-01-10
Надежда 4,111362.50,1113.62,EUR,Тристаен апартамент,2022-01-10
Обеля 1,85898.00,943.93,EUR,Тристаен апартамент,2022-01-10
Обеля 2,148827.00,947.94,EUR,Тристаен апартамент,2022-01-10
Оборище,232995.19,2152.62,EUR,Тристаен апартамент,2022-01-10
Овча Купел,147142.58,1210.80,EUR,Тристаен апартамент,2022-01-10
Овча Купел 1,118139.00,1233.83,EUR,Тристаен апартамент,2022-01-10
Овча Купел 2,142712.72,1210.00,EUR,Тристаен апартамент,2022-01-10
Павлово,153378.77,1303.84,EUR,Тристаен апартамент,2022-01-10
Подуене,106126.66,1090.34,EUR,Тристаен апартамент,2022-01-10
Разсадника,140233.33,1372.59,EUR,Тристаен апартамент,2022-01-10
Редута,160994.00,1487.93,EUR,Тристаен апартамент,2022-01-10
Света Троица,131599.94,1400.00,EUR,Тристаен апартамент,2022-01-10
Свобода,110000.00,1447.37,EUR,Тристаен апартамент,2022-01-10
Сердика,133872.50,1236.70,EUR,Тристаен апартамент,2022-01-10
Симеоново,194512.11,1634.56,EUR,Тристаен апартамент,2022-01-10
Славия,135000.00,1516.85,EUR,Тристаен апартамент,2022-01-10
Слатина,133350.00,1369.10,EUR,Тристаен апартамент,2022-01-10
Стрелбище,164933.33,1979.20,EUR,Тристаен апартамент,2022-01-10
Студентски Град,161484.80,1183.55,EUR,Тристаен апартамент,2022-01-10
Суха Река,129509.32,1221.26,EUR,Тристаен апартамент,2022-01-10
Толстой,77000.00,1089.62,EUR,Тристаен апартамент,2022-01-10
Фондови Жилища,103000.00,1157.30,EUR,Тристаен апартамент,2022-01-10
Хаджи Димитър,145969.39,1344.86,EUR,Тристаен апартамент,2022-01-10
Хиподрума,217285.72,1630.22,EUR,Тристаен апартамент,2022-01-10
Хладилника,217063.16,1866.15,EUR,Тристаен апартамент,2022-01-10
Център,202377.78,1877.44,EUR,Тристаен апартамент,2022-01-10
Яворов,233928.58,2183.33,EUR,Тристаен апартамент,2022-01-10
Банкя (гр.),409207.47,997.72,EUR,Къща,2022-01-10
Белите Брези,545000.00,1372.80,EUR,Къща,2022-01-10
Бенковски,120000.00,2000.00,EUR,Къща,2022-01-10
Бояна,852019.44,1748.89,EUR,Къща,2022-01-10
Витоша,1052000.00,1596.36,EUR,Къща,2022-01-10
Гео Милев,980000.00,2378.64,EUR,Къща,2022-01-10
Горна Баня,526587.50,1208.46,EUR,Къща,2022-01-10
Гоце Делчев,593333.31,1514.89,EUR,Къща,2022-01-10
Драгалевци,642553.62,1602.87,EUR,Къща,2022-01-10
Зона Б5,306000.00,1569.23,EUR,Къща,2022-01-10
Иван Вазов,390000.00,7500.00,EUR,Къща,2022-01-10
Княжево,345870.00,1350.00,EUR,Къща,2022-01-10
Красно Село,315000.00,2100.00,EUR,Къща,2022-01-10
Кръстова Вада,1500000.00,3000.00,EUR,Къща,2022-01-10
Левски,182475.00,957.87,EUR,Къща,2022-01-10
Левски В,280000.00,1400.00,EUR,Къща,2022-01-10
Лозенец,515960.00,2072.13,EUR,Къща,2022-01-10
м-т Детски град,873921.12,1795.32,EUR,Къща,2022-01-10
Малашевци,103000.00,1144.44,EUR,Къща,2022-01-10
Малинова Долина,661312.00,1486.89,EUR,Къща,2022-01-10
Манастирски ливади Запад,1607500.00,2500.00,EUR,Къща,2022-01-10
Надежда 1,294250.00,868.64,EUR,Къща,2022-01-10
Надежда 4,322499.00,1235.63,EUR,Къща,2022-01-10
Обеля 1,123000.00,1366.67,EUR,Къща,2022-01-10
Оборище,550000.00,1510.99,EUR,Къща,2022-01-10
Овча Купел,520000.00,1405.41,EUR,Къща,2022-01-10
Павлово,467000.00,1092.40,EUR,Къща,2022-01-10
Редута,517500.00,1335.48,EUR,Къща,2022-01-10
Симеоново,498732.25,1418.15,EUR,Къща,2022-01-10
Суха Река,222022.00,1707.86,EUR,Къща,2022-01-10
Толстой,260000.00,981.13,EUR,Къща,2022-01-10
Требич,115000.00,1474.36,EUR,Къща,2022-01-10
Филиповци,191000.00,740.31,EUR,Къща,2022-01-10
Център,557732.38,2046.94,EUR,Къща,2022-01-10
Яворов,2200000.00,2659.15,EUR,Къща,2022-01-10
Банишора,15766.67,503.19,EUR,"Гараж, паркомясто",2022-01-10
Белите Брези,38450.00,1636.17,EUR,"Гараж, паркомясто",2022-01-10
Борово,27000.00,1350.00,EUR,"Гараж, паркомясто",2022-01-10
Витоша,37450.00,972.73,EUR,"Гараж, паркомясто",2022-01-10
Гоце Делчев,10000.00,500.00,EUR,"Гараж, паркомясто",2022-01-10
Изток,22000.00,1294.12,EUR,"Гараж, паркомясто",2022-01-10
Кръстова Вада,31333.33,796.61,EUR,"Гараж, паркомясто",2022-01-10
Лагера,21600.00,1028.57,EUR,"Гараж, паркомясто",2022-01-10
Лозенец,28000.00,1296.30,EUR,"Гараж, паркомясто",2022-01-10
Люлин 10,10000.00,454.55,EUR,"Гараж, паркомясто",2022-01-10
Люлин Център,9250.00,385.42,EUR,"Гараж, паркомясто",2022-01-10
Малинова Долина,9000.00,750.00,EUR,"Гараж, паркомясто",2022-01-10
Манастирски ливади Изток,25000.00,1562.50,EUR,"Гараж, паркомясто",2022-01-10
Младост 1а,30000.00,1428.57,EUR,"Гараж, паркомясто",2022-01-10
Младост 4,20972.00,1103.79,EUR,"Гараж, паркомясто",2022-01-10
Надежда 2,7000.00,700.00,EUR,"Гараж, паркомясто",2022-01-10
Овча Купел,14750.00,1017.24,EUR,"Гараж, паркомясто",2022-01-10
Овча Купел 2,15500.00,632.65,EUR,"Гараж, паркомясто",2022-01-10
Редута,27333.33,987.95,EUR,"Гараж, паркомясто",2022-01-10
Стрелбище,32000.00,941.18,EUR,"Гараж, паркомясто",2022-01-10
Студентски Град,17750.00,887.50,EUR,"Гараж, паркомясто",2022-01-10
Суха Река,53390.00,970.73,EUR,"Гараж, паркомясто",2022-01-10
Хиподрума,54990.00,1374.75,EUR,"Гараж, паркомясто",2022-01-10
Център,29000.00,966.67,EUR,"Гараж, паркомясто",2022-01-10
Витоша,36000.00,1894.74,EUR,"Ателие, таван, студио",2022-01-10
Лозенец,79990.00,2423.94,EUR,"Ателие, таван, студио",2022-01-10
Малинова Долина,61000.00,1418.60,EUR,"Ателие, таван, студио",2022-01-10
Надежда 4,132600.00,1052.38,EUR,"Ателие, таван, студио",2022-01-10
Овча Купел,103000.00,1661.29,EUR,"Ателие, таван, студио",2022-01-10
Овча Купел 2,146750.00,1247.17,EUR,"Ателие, таван, студио",2022-01-10
Редута,36000.00,1028.57,EUR,"Ателие, таван, студио",2022-01-10
Студентски Град,66333.34,1363.01,EUR,"Ателие, таван, студио",2022-01-10
Център,190633.33,2859.50,EUR,"Ателие, таван, студио",2022-01-10
Банишора,198450.00,1318.60,EUR,Многостаен апартамемент,2022-01-10
Банкя (гр.),150000.00,961.54,EUR,Многостаен апартамемент,2022-01-10
Белите Брези,209000.00,1298.14,EUR,Многостаен апартамемент,2022-01-10
Борово,314000.00,1088.39,EUR,Многостаен апартамемент,2022-01-10
Бояна,606811.12,1903.08,EUR,Многостаен апартамемент,2022-01-10
Бъкстон,286500.00,1273.33,EUR,Многостаен апартамемент,2022-01-10
Витоша,361891.38,1340.96,EUR,Многостаен апартамемент,2022-01-10
Гео Милев,304250.00,1294.68,EUR,Многостаен апартамемент,2022-01-10
Горна Баня,244000.00,956.86,EUR,Многостаен апартамемент,2022-01-10
Гоце Делчев,270000.00,1060.21,EUR,Многостаен апартамемент,2022-01-10
Дианабад,312000.00,1215.58,EUR,Многостаен апартамемент,2022-01-10
Драгалевци,272000.00,1122.81,EUR,Многостаен апартамемент,2022-01-10
Дървеница,335000.00,1763.16,EUR,Многостаен апартамемент,2022-01-10
Западен Парк,360000.00,1500.00,EUR,Многостаен апартамемент,2022-01-10
Зона Б18,319500.00,1205.66,EUR,Многостаен апартамемент,2022-01-10
Зона Б19,368370.00,1497.44,EUR,Многостаен апартамемент,2022-01-10
Иван Вазов,435000.00,2259.74,EUR,Многостаен апартамемент,2022-01-10
Изгрев,403000.00,1098.09,EUR,Многостаен апартамемент,2022-01-10
Изток,441795.00,1912.53,EUR,Многостаен апартамемент,2022-01-10
Красно Село,256600.00,1893.73,EUR,Многостаен апартамемент,2022-01-10
Кръстова Вада,479094.59,1676.33,EUR,Многостаен апартамемент,2022-01-10
Лозенец,711806.69,2001.71,EUR,Многостаен апартамемент,2022-01-10
Люлин 2,99360.00,920.00,EUR,Многостаен апартамемент,2022-01-10
Люлин 6,55100.00,950.00,EUR,Многостаен апартамемент,2022-01-10
Малинова Долина,281000.00,1261.98,EUR,Многостаен апартамемент,2022-01-10
Манастирски ливади Изток,325000.00,1805.56,EUR,Многостаен апартамемент,2022-01-10
Младост 1,130000.00,1397.85,EUR,Многостаен апартамемент,2022-01-10
Младост 2,353378.00,1407.88,EUR,Многостаен апартамемент,2022-01-10
Младост 4,165000.00,1330.65,EUR,Многостаен апартамемент,2022-01-10
Мусагеница,275000.00,1923.08,EUR,Многостаен апартамемент,2022-01-10
Надежда 2,192000.00,1560.98,EUR,Многостаен апартамемент,2022-01-10
Оборище,775870.00,3153.94,EUR,Многостаен апартамемент,2022-01-10
Овча Купел,182000.00,1030.19,EUR,Многостаен апартамемент,2022-01-10
Овча Купел 2,240833.33,1202.16,EUR,Многостаен апартамемент,2022-01-10
Редута,250000.00,1811.59,EUR,Многостаен апартамемент,2022-01-10
Света Троица,160000.00,1221.37,EUR,Многостаен апартамемент,2022-01-10
Симеоново,487500.00,1284.58,EUR,Многостаен апартамемент,2022-01-10
Стрелбище,190000.00,1241.83,EUR,Многостаен апартамемент,2022-01-10
Студентски Град,475933.34,1461.41,EUR,Многостаен апартамемент,2022-01-10
Хаджи Димитър,205000.00,1102.15,EUR,Многостаен апартамемент,2022-01-10
Хиподрума,330000.00,2357.14,EUR,Многостаен апартамемент,2022-01-10
Хладилника,456500.00,1604.57,EUR,Многостаен апартамемент,2022-01-10
Център,474670.94,2396.94,EUR,Многостаен апартамемент,2022-01-10
Яворов,599000.00,2495.83,EUR,Многостаен апартамемент,2022-01-10
Американски колеж в.з.,90382.70,1184.05,EUR,Двустаен апартамент,2021-07-28
Банишора,99410.40,1309.75,EUR,Двустаен апартамент,2021-07-28
Банкя (гр.),97000.00,1372.64,EUR,Двустаен апартамент,2021-07-28
Белите Брези,170000.00,2179.49,EUR,Двустаен апартамент,2021-07-28
Борово,102733.00,1329.02,EUR,Двустаен апартамент,2021-07-28
Бояна,123076.00,1402.24,EUR,Двустаен апартамент,2021-07-28
Бъкстон,94375.80,1341.84,EUR,Двустаен апартамент,2021-07-28
Витоша,93993.10,1258.94,EUR,Двустаен апартамент,2021-07-28
Гео Милев,107891.00,1442.83,EUR,Двустаен апартамент,2021-07-28
Горна Баня,97213.70,1030.28,EUR,Двустаен апартамент,2021-07-28
Гоце Делчев,129500.00,1844.73,EUR,Двустаен апартамент,2021-07-28
Дианабад,109138.00,1476.26,EUR,Двустаен апартамент,2021-07-28
Драгалевци,107609.00,1269.72,EUR,Двустаен апартамент,2021-07-28
Дружба,96000.00,1655.17,EUR,Двустаен апартамент,2021-07-28
Дружба 1,68797.30,1012.97,EUR,Двустаен апартамент,2021-07-28
Дружба 2,82583.30,1272.14,EUR,Двустаен апартамент,2021-07-28
Дървеница,81267.80,1229.09,EUR,Двустаен апартамент,2021-07-28
Западен Парк,69628.60,1168.83,EUR,Двустаен апартамент,2021-07-28
Захарна Фабрика,57375.00,856.34,EUR,Двустаен апартамент,2021-07-28
Зона Б18,97887.40,1429.01,EUR,Двустаен апартамент,2021-07-28
Зона Б19,100750.00,1419.01,EUR,Двустаен апартамент,2021-07-28
Зона Б5,100986.00,1359.67,EUR,Двустаен апартамент,2021-07-28
Иван Вазов,164000.00,2589.48,EUR,Двустаен апартамент,2021-07-28
Изгрев,148415.00,1788.14,EUR,Двустаен апартамент,2021-07-28
Изток,197291.00,2136.02,EUR,Двустаен апартамент,2021-07-28
Илинден,69733.30,977.57,EUR,Двустаен апартамент,2021-07-28
Княжево,87498.50,1073.60,EUR,Двустаен апартамент,2021-07-28
Красна Поляна,67816.70,1073.61,EUR,Двустаен апартамент,2021-07-28
